imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating
tt0383010,44000000,574.549,943.725,643.544,2168.21,103.363,80.8239,97.1878,114.843,66.4434,185.007,91.0698,554.399,4.00343
tt0401729,73000000,246.423,1174.97,453.284,499.134,41.5401,142.15,64.3068,67.9497,43.8467,95.925,55.4545,60.4134,4.10633
tt0431021,49000000,687,4141.94,1242.26,1333.31,59.6702,229.833,87.0179,75.6603,131.117,422.222,177.902,146.237,3.77974
tt0443272,182000000,1504.46,2976.26,2561,2561,179.456,231.841,217.061,217.061,422.025,374.915,388.207,388.207,4.56796
tt0454876,125000000,2707.39,7055.85,5300.5,5332.88,117.477,295.238,223.482,222.925,590.091,961.638,811.656,806.142,4.40385
tt0485985,50000000,0.0337079,0.0955056,0.0723742,0.106775,0,0.0238764,0.0150044,0.0139912,0,0,0,0,4.61655
tt0763831,18000000,89.8,189.167,139.714,268.132,23.6,20.8333,22.2857,28.5789,40.5,33.25,37.2857,40.2632,3.9037
tt0770802,2600000,56.896,85.5484,71.1647,101.269,8.08,10.6774,9.37349,10.7463,29.576,18.4355,24.0281,35.2799,4.41667
tt0790724,80000000,1877.57,1666.11,1798.01,1516.87,171.079,131.184,156.069,119.245,165.794,105.658,143.168,116.954,4.1895
tt0837562,148000000,3889.3,7153.68,5931.5,7631.09,284.155,316.403,305.211,294.153,358.969,533.848,447.246,523.162,4.42999
tt0848228,623000000,2399.4,16838,7990.43,10509.2,264.368,572.25,380.852,390.142,459.982,1268.19,783.117,889.682,4.85471
tt0938330,18000000,365.339,2365.26,481.21,915.846,26.8991,157.78,34.482,44.0163,73.3063,357.22,89.7555,123.674,3.18919
tt1024648,136000000,270.239,1612.07,1138.9,1164.98,24.6418,127.919,91.5,83.9511,42.2836,165.317,121.932,109.956,4.77719
tt1047540,77000000,193.881,170.363,187.185,187.185,12.3582,13.9375,12.8078,12.8078,14.199,21,16.1352,16.1352,4.40452
tt1071875,52000000,2302.2,2992.49,2486.31,3518.82,217.447,195.122,210.86,242.294,364.689,517.073,403.545,791.877,2.74016
tt1074638,304000000,3059.88,6059.59,4009.21,4212.93,155.113,202.602,167.975,166.167,351.769,331.379,345.946,288.178,4.42934
tt1077368,80000000,3683.76,3876.44,3777.69,6042.69,462.146,301.641,383.9,348.955,996.902,634.282,820.125,780.769,3.52991
tt1142977,35000000,3131.48,8700.63,5970.18,6284.21,76.5564,250.88,165.361,155.649,454.121,653.848,561.516,570.365,3.91554
tt1183919,1400000,1152.29,4114.64,2922.24,4440.27,110.78,147.157,132.231,168.565,349.976,1452.29,1062.88,1344.54,4.95
tt1195478,29000000,86.0377,172.267,117.205,174.342,8.86792,10.7667,9.55422,10.8917,33.6226,14.0333,26.5422,24.4083,3.51707
tt1217209,237000000,1273.88,9690.64,4966.53,7093.86,72.6566,473.157,254.95,261.177,233.071,886.747,530.084,598.544,4.42803
tt1222815,29000000,88.625,177.216,128.313,139.271,8.34375,20,14.2239,14.3529,39,77.7297,56.2836,53.2941,4.29737
tt1226240,1600000,46.4889,57.8208,54.4437,55.0526,9.95556,6.20755,7.3245,7.32895,9.33333,5.27358,6.48344,6.44079,4.54545
tt1232200,37000000,268.945,2563.24,555.651,1558.39,28.6364,138.588,38.9921,70.7843,49.8091,77.0588,53.2937,63.7059,3.31698
tt1232829,138000000,194.628,2520.77,891.858,4126.73,25.734,112.847,49.108,163.11,55.7234,89.6939,61.3636,1044.1,4.40233
tt1234719,45000000,1055.99,1164.16,1046.68,1081.52,146.74,67.8824,126.643,114.406,83.8819,81.2745,78.2749,83.2512,3.78748
tt1258972,16000000,990.75,1378.79,1057.27,1005.8,86.5776,80.5417,85.5429,76.5281,163.638,105.542,153.679,137.056,3.26923
tt1259521,42000000,82.9146,494.118,216.085,678.676,16.0976,59.9216,31.5615,170.934,21.4268,57.9608,33.2154,68.8443,3.52331
tt1276104,66000000,989.557,2506.51,1664.35,1639.21,33.9754,88.2887,54.3366,56.0315,58.7049,103.536,80.9561,77.0748,4.07326
tt1276419,1500000,31.8387,57.7423,51.4688,60.518,2.45161,3.07217,2.92188,3.45324,9.87097,4.14433,5.53125,6.22302,4.61111
