imdb_id,mpaa_rating,running_time,budget,opening_wkd,gross_us,awards,genres_Action,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Drama,genres_Documentary,genres_Fantasy,genres_Family,genres_History,genres_Horror,genres_Mystery,genres_Musical,genres_Music,genres_Romance,genres_Sci-Fi,genres_Sport,genres_Thriller,genres_War,genres_Western,country_United States,country_United Kingdom,country_France,country_Canada,country_India,country_other,language_English,language_French,language_Hindi,language_other,release_endtime,release_starttime,show_time_week,company,distributor
tt0383010,3,92.0,,17010125,44328238,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2223,2206,17,co0000756,Twentieth Century Fox Film Corporation
tt0401729,1,132.0,250000000.0,30180188,73058679,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2216,2201,15,co0226183,Walt Disney Studios Motion Pictures
tt0431021,1,92.0,14000000.0,17732480,49122319,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2237,2226,11,co0173285,Lionsgate
tt0443272,1,150.0,65000000.0,944308,182204440,261,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2259,2236,23,co0049348,Touchstone Pictures
tt0454876,3,127.0,120000000.0,22451514,124976634,219,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,2270,2238,32,co0017497,Fox 2000 Pictures
tt0485985,1,125.0,58000000.0,18782154,49875589,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2213,2194,19,co0000756,Twentieth Century Fox Film Corporation
tt0763831,1,91.0,40000000.0,6176280,18438149,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2212,2201,11,co0023400,Paramount Pictures
tt0770802,1,102.0,,105000,2601847,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2242,2225,17,co0314632,Freestyle Digital Media
tt0790724,1,130.0,60000000.0,15210156,80033643,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2254,2242,12,co0023400,Paramount Pictures
tt0837562,3,91.0,85000000.0,42522194,148313048,17,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2250,2230,20,co0071509,Columbia Pictures
tt0848228,1,143.0,220000000.0,207438708,623279547,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2230,2209,21,co0226183,Walt Disney Studios Motion Pictures
