first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,promotion_clusters
2089,2218,112,2,0.75,4.25,9.0,2.5,0.5,0.0,0.0,15,6,1,17,1,0,0,7,37,22,1,59,8,0,4,1,0,4,3,0,0,0,0,1,0,0,17,1,0,13,5,0,30,14,1,72,17,1,0
2207,2305,19,67,2.210526316,6.25,6.75,1.384615385,2.75,5.0,0.194029851,7,1,3,2,0,0,0,1,63,17,39,16,0,1,6,0,0,10,1,5,0,1,0,1,0,0,2,0,0,0,0,1,61,16,33,19,1,5,0
2218,2270,24,15,0.791666667,4.25,6.75,2.714285714,2.0,10.0,0.133333333,14,14,6,0,0,0,0,0,36,19,44,10,5,0,3,0,0,6,4,2,0,1,0,0,0,4,0,0,0,0,0,0,30,15,40,26,19,4,0
2171,2306,38,75,3.763157895,6.5,12.75,6.652173913,5.75,1.75,2.306666667,34,18,21,2,0,3,0,1,99,106,167,61,29,12,23,0,0,24,0,1,0,0,0,3,3,0,2,0,3,4,1,0,94,105,148,93,44,51,1
2132,2306,102,64,7.235294118,5.75,13.0,5.555555556,0.0,3.5,2.59375,113,12,13,59,0,0,0,1,367,28,164,255,10,3,18,0,0,23,11,1,0,2,2,10,4,0,59,0,0,2,0,0,317,23,118,398,12,61,1
2168,2260,30,50,1.933333333,3.5,7.75,3.153846154,7.5,3.75,0.3,18,14,10,0,0,3,0,0,72,18,37,11,9,10,2,0,0,2,3,1,0,0,0,9,6,5,0,0,3,0,0,0,57,3,27,35,29,24,0
2170,2306,66,52,5.121212121,28.0,27.25,13.68421053,7.0,3.0,14.44230769,78,19,7,257,127,286,0,3,188,103,496,33,9,2,0,2,0,68,39,49,0,1,0,3,0,7,200,92,250,3,0,0,177,102,483,108,27,1,1
2125,2306,91,60,0.516483516,5.5,7.5,2.741935484,3.75,2.25,0.666666667,20,4,4,1,0,2,0,2,59,68,48,16,12,10,1,1,0,2,3,2,0,0,1,5,2,1,1,0,2,8,3,0,57,65,45,25,12,14,0
2221,2255,17,4,1.882352941,5.75,18.0,4.0,6.0,0.0,0.0,9,8,5,10,3,2,0,0,66,29,15,42,14,1,0,2,1,8,6,1,0,0,0,0,0,0,10,3,2,0,0,0,51,25,15,58,22,6,0
2144,2304,91,62,0.296703297,6.25,16.0,3.25,1.75,4.0,0.209677419,21,4,6,3,0,1,0,0,60,8,25,32,14,4,0,0,0,14,2,1,0,1,0,0,0,0,1,0,0,0,0,0,50,6,25,51,17,10,0
2068,2306,138,88,0.137681159,6.25,9.5,3.923076923,2.25,6.5,0.863636364,19,17,15,6,1,1,0,1,24,31,89,22,2,5,11,0,0,20,22,5,0,0,1,2,4,4,0,0,0,0,0,1,20,10,83,39,15,18,0
2203,2303,27,59,2.518518519,4.5,9.0,7.666666667,1.75,0.5,0.13559322,8,13,3,2,0,0,0,0,88,88,9,24,14,5,0,0,0,4,3,0,0,0,0,3,8,1,2,0,0,0,0,0,82,84,7,31,20,9,0
2212,2281,17,46,2.470588235,5.25,10.0,3.571428571,0.0,3.75,0.52173913,7,2,1,1,0,0,0,0,62,19,38,27,4,0,6,0,0,7,0,2,0,0,0,1,2,0,1,0,0,0,0,0,61,19,35,33,4,2,0
2168,2292,52,52,0.423076923,5.0,9.75,4.476190476,2.25,0.75,0.615384615,12,8,5,2,2,4,0,0,46,69,32,21,14,3,0,1,0,4,10,0,0,1,0,5,3,0,2,2,4,0,0,0,43,52,29,26,27,11,0
2226,2295,1,64,0.0,0.0,0.25,2.2,0.5,1.25,0.890625,0,0,5,0,6,9,0,0,1,5,47,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,6,9,0,0,0,1,4,45,0,1,8,0
2167,2303,55,71,0.181818182,4.75,7.75,3.181818182,5.25,8.25,0.549295775,9,4,10,2,0,0,0,0,36,29,64,13,2,19,0,0,0,6,3,1,0,0,0,2,2,6,0,0,0,0,0,0,31,26,61,21,4,25,0
2163,2306,68,55,0.367647059,3.75,6.75,2.666666667,0.0,0.5,0.145454545,13,17,4,2,3,0,0,0,27,9,6,25,27,0,0,0,0,9,1,0,0,0,0,0,0,0,2,3,0,0,0,0,16,7,4,40,45,6,0
2212,2287,13,55,0.230769231,0.0,10.75,8.875,1.75,2.75,0.109090909,7,11,5,3,1,1,0,0,22,52,18,10,3,0,4,4,0,5,4,2,0,0,0,1,3,0,3,1,1,0,0,0,21,52,10,16,11,11,0
2170,2303,41,81,0.658536585,5.75,8.0,2.333333333,4.75,1.0,0.197530864,30,10,8,0,0,1,0,0,35,13,21,17,5,9,0,0,0,1,1,0,0,1,0,3,0,2,0,0,1,0,0,0,30,11,20,48,15,16,0
2168,2305,46,76,2.282608696,9.25,13.0,5.875,3.0,1.0,0.171052632,21,6,2,51,5,1,0,0,48,50,24,68,27,2,6,6,0,34,15,2,3,0,0,0,0,0,23,0,0,2,2,0,26,26,20,106,51,7,0
