imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,promotion_clusters
tt0443272,182000000,1504.46,2976.26,2561.0,2561.0,179.456,231.841,217.061,217.061,422.025,374.915,388.207,388.207,4.56796,7.786906672,11.49736644,0.534485428,0.926761976,0.073238024,1
tt0454876,125000000,2707.39,7055.85,5300.5,5332.88,117.477,295.238,223.482,222.925,590.091,961.638,811.656,806.142,4.40385,8.919923404,14.43465046,0.461820061,0.963525836,0.036474164,1
tt0485985,50000000,0.0337079,0.0955056,0.0723742,0.106775,0.0,0.0238764,0.0150044,0.0139912,0.0,0.0,0.0,0.0,4.61655,10.37109531,13.29025271,0.68106491,0.947292419,0.052707581,1
tt0770802,2600000,56.896,85.5484,71.1647,101.269,8.08,10.6774,9.37349,10.7463,29.576,18.4355,24.0281,35.2799,4.41667,12.77857273,16.86363636,0.532713636,0.863636364,0.136363636,1
tt1024648,136000000,270.239,1612.07,1138.9,1164.98,24.6418,127.919,91.5,83.9511,42.2836,165.317,121.932,109.956,4.77719,7.21919736,12.12907957,0.4816652,0.954162083,0.045837917,1
tt1183919,1400000,1152.29,4114.64,2922.24,4440.27,110.78,147.157,132.231,168.565,349.976,1452.29,1062.88,1344.54,4.95,25.00753846,27.53846154,0.772576923,0.923076923,0.076923077,1
tt1222815,29000000,88.625,177.216,128.313,139.271,8.34375,20.0,14.2239,14.3529,39.0,77.7297,56.2836,53.2941,4.29737,16.01256741,20.31962025,0.65633038,0.949367089,0.050632911,1
tt1226240,1600000,46.4889,57.8208,54.4437,55.0526,9.95556,6.20755,7.3245,7.32895,9.33333,5.27358,6.48344,6.44079,4.54545,10.08282727,15.63636364,0.363945455,0.909090909,0.090909091,1
tt1276419,1500000,31.8387,57.7423,51.4688,60.518,2.45161,3.07217,2.92188,3.45324,9.87097,4.14433,5.53125,6.22302,4.61111,10.30398889,13.11111111,0.6556,0.944444444,0.055555556,1
tt1327194,60000000,1357.68,2610.22,1663.64,5968.51,93.6286,105.392,95.8645,165.967,134.067,222.294,157.168,495.649,4.34921,17.93219306,21.37152778,0.716788542,0.958333333,0.041666667,1
tt1371111,27000000,912.36,1860.37,1329.77,1705.62,57.48,136.407,92.2313,99.1977,304.44,288.271,297.321,320.384,3.60151,7.883040707,10.27617801,0.454358639,0.812827225,0.187172775,1
tt1392170,408000000,4509.54,20859.6,10589.3,30306.6,401.865,1200.29,696.853,846.384,475.354,1292.15,771.885,1823.05,4.39577,8.847864064,11.28480204,0.593250208,0.882662835,0.117337165,1
tt1417075,1000000,10.2778,17.3333,12.6296,12.6296,1.33333,3.0,1.88889,1.88889,4.16667,1.33333,3.22222,3.22222,4.6,0.8414,-0.375,0.064025,0.5,0.5,1
tt1430615,20000000,342.667,396.909,361.312,345.69,40.4048,39.5,40.0938,31.27,71.6667,45.6818,62.7344,57.19,4.31455,16.9376288,20.85869565,0.659720109,0.940217391,0.059782609,1
tt1446192,103000000,3188.92,8271.95,5672.54,6556.52,109.554,320.397,212.178,234.572,227.64,502.298,362.041,369.244,4.59419,9.728292762,13.53558504,0.593027744,0.956574186,0.043425814,1
tt1520498,1100000,4.9837,12.5,6.93385,7.91159,1.91848,1.90541,1.68482,1.90854,0.173913,0.756757,0.284047,0.359756,3.90909,12.55948308,14.72307692,0.570955385,0.846153846,0.153846154,1
tt1560747,16000000,3.0,33.4348,27.4815,76.9,0.2,3.21739,2.66667,4.725,2.6,5.65217,5.2963,7.525,2.27946,5.241484746,7.929121726,0.246172727,0.707241911,0.292758089,1
tt1566501,5700000,323.573,506.326,405.836,525.19,20.7079,43.6947,31.6393,41.652,112.27,87.3895,96.9344,98.1612,4.796,14.22680177,16.84513274,0.619102212,0.867256637,0.132743363,1
tt1568921,19000000,210.562,404.487,314.7,676.926,32.3125,42.2308,36.7571,43.6543,19.875,32.1026,26.3286,65.9136,4.25246,12.49288046,14.87739464,0.674633716,0.927203065,0.072796935,1
tt1579361,780000,28.4816,121.231,31.8529,73.3354,2.65552,10.3846,2.94444,4.59783,12.495,27.6923,13.0163,25.3494,4.5625,5.794646667,13.66666667,0.259686667,0.933333333,0.066666667,1
tt1596365,54000000,359.378,1681.73,666.007,895.03,57.2,176.06,88.3137,87.8416,25.0267,113.381,48.9739,48.9554,3.90244,5.176061141,7.529891304,0.309082065,0.733695652,0.266304348,1
tt1601913,52000000,86.4233,321.926,137.767,273.979,20.9693,66.5,33.5463,39.2456,8.93865,20.4559,11.2863,20.8612,3.23173,4.80378324,5.997750281,0.267355118,0.689538808,0.310461192,1
tt1602098,3000000,32.2208,89.1765,41.6129,41.8835,4.74026,14.2941,6.43011,6.38835,2.98701,15.8824,5.12903,5.20388,4.11364,15.654095,19.775,0.549435,0.9,0.1,1
