imdb_id,title,outline,director,writer,star,top cast
tt0383010,The Three Stooges,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality television show.",Bobby FarrellyPeter Farrelly,Mike CerroneBobby FarrellyPeter Farrelly,Sean HayesChris DiamantopoulosWill Sasso,Sean HayesLarryas LarryChris DiamantopoulosMoeas MoeWill SassoCurlyas CurlyJane LynchMother Superioras Mother SuperiorSofía VergaraLydiaas LydiaJennifer HudsonSister Rosemaryas Sister RosemaryCraig BierkoMacas MacStephen CollinsMr. Harteras Mr. HarterLarry DavidSister Mary-Mengeleas Sister Mary-MengeleKirby HeyborneTeddyas TeddyCarly CraigMrs. Harteras Mrs. HarterKate UptonSister Berniceas Sister BerniceMarianne LeoneSister Ricardaas Sister RicardaBrian Doyle-MurrayMonsignor Ratliffeas Monsignor RatliffeMike 'The Situation' SorrentinoThe Situationas The Situation(as Michael Sorrentino)Nicole PolizziSnookias SnookiJenni FarleyJWowwas JWoww(as Jenni 'JWoww' Farley)Ronnie MagroRonnieas Ronnie
tt0401729,John Carter,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Andrew Stanton,Andrew Stanton(screenplay by)Mark Andrews(screenplay by)Michael Chabon(screenplay by),Taylor KitschLynn CollinsWillem Dafoe,Taylor KitschJohn Carteras John CarterLynn CollinsDejah Thorisas Dejah ThorisWillem DafoeTars Tarkasas Tars TarkasSamantha MortonSolaas SolaThomas Haden ChurchTal Hajusas Tal HajusMark StrongMatai Shangas Matai ShangCiarán HindsTardos Morsas Tardos Mors(as Ciaran Hinds)Dominic WestSab Thanas Sab ThanJames PurefoyKantos Kanas Kantos KanBryan CranstonPowellas PowellPolly WalkerSarkojaas SarkojaDaryl SabaraEdgar Rice Burroughsas Edgar Rice BurroughsArkie ReeceStayman #1as Stayman #1…Davood GhadamiStayman #3as Stayman #3Pippa NixonLightmasteras LightmasterJames EmbreeThern #2as Thern #2Philip PhilmarThern #1as Thern #1Figs JackmanMan in the Bowleras Man in the Bowler
tt0431021,The Possession (I),"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",Ole Bornedal,Juliet SnowdenStiles WhiteLeslie Gornstein(article "Jinx in a Box"),Natasha CalisJeffrey Dean MorganKyra Sedgwick,Natasha CalisEmas EmJeffrey Dean MorganClydeas ClydeKyra SedgwickStephanieas StephanieMadison DavenportHannahas HannahMatisyahuTzadokas TzadokGrant ShowBrettas BrettRob LaBelleRussellas RussellNana GbewonyoDariusas DariusAnna HaganEleanoras EleanorBrenda CrichlowMiss Shandyas Miss Shandy(as Brenda M. Crichlow)Jay BrazeauProfessor McMannisas Professor McMannisIris QuinnDoctoras DoctorGraeme DuffyLab Techas Lab TechDavid HovanAdanas AdanChris ShieldsAssistant Coachas Assistant CoachAdam YoungPrestonas PrestonJim ThorburnFirst Responderas First ResponderQuinn LordStudentas Student
tt0443272,Lincoln,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Steven Spielberg,Tony Kushner(screenplay by)Doris Kearns Goodwin(based in part on the book "Team of Rivals: The Political Genius of Abraham Lincoln" by),Daniel Day-LewisSally FieldDavid Strathairn,Daniel Day-LewisAbraham Lincolnas Abraham LincolnSally FieldMary Todd Lincolnas Mary Todd LincolnDavid StrathairnWilliam Sewardas William SewardJoseph Gordon-LevittRobert Lincolnas Robert LincolnJames SpaderW.N. Bilboas W.N. BilboHal HolbrookPreston Blairas Preston BlairTommy Lee JonesThaddeus Stevensas Thaddeus StevensJohn HawkesRobert Lathamas Robert LathamJackie Earle HaleyAlexander Stephensas Alexander StephensBruce McGillEdwin Stantonas Edwin StantonTim Blake NelsonRichard Schellas Richard SchellJoseph CrossJohn Hayas John HayJared HarrisUlysses S. Grantas Ulysses S. GrantLee PaceFernando Woodas Fernando WoodPeter McRobbieGeorge Pendletonas George PendletonGulliver McGrathTad Lincolnas Tad LincolnGloria ReubenElizabeth Keckleyas Elizabeth KeckleyJeremy StrongJohn Nicolayas John Nicolay
tt0454876,Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,Yann Martel(novel)David Magee(screenplay),Suraj SharmaIrrfan KhanAdil Hussain,Suraj SharmaPi Patelas Pi PatelIrrfan KhanAdult Pi Patelas Adult Pi PatelAdil HussainSantosh Patelas Santosh PatelTabuGita Patelas Gita PatelAyush TandonPi Patel (11-12 Years)as Pi Patel (11-12 Years)Gautam BelurPi Patel (5 Years)as Pi Patel (5 Years)Ayaan KhanRavi Patel (7 Years)as Ravi Patel (7 Years)Mohd. Abbas KhaleeliRavi Patel (13-14 Years)as Ravi Patel (13-14 Years)Vibish SivakumarRavi Patel (18-19 Years)as Ravi Patel (18-19 Years)Rafe SpallWriteras WriterGérard DepardieuCookas CookJames SaitoOlder Insurance Investigatoras Older Insurance InvestigatorJun NaitoYounger Insurance Investigatoras Younger Insurance InvestigatorAndrea Di StefanoPriestas PriestShravanthi SainathAnandias AnandiElie AloufMamajias MamajiPadmini RamachandranDance Masteras Dance MasterT.M. Karthik SrinivasanScience Teacheras Science Teacher(as T.M. Karthik)
tt0485985,Red Tails,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.",Anthony Hemingway,"John Ridley(story)Aaron McGruder(screenplay)John B. Holway(book ""Red Tails, Black Wings: The Men of America's Black Air Force"")",Cuba Gooding Jr.Gerald McRaneyDavid Oyelowo,Cuba Gooding Jr.Major Emanuelle Stanceas Major Emanuelle StanceGerald McRaneyMajor General Luntzas Major General LuntzDavid OyelowoJoe 'Lightning' Littleas Joe 'Lightning' LittleAndre RoyoAntwan 'Coffee' Colemanas Antwan 'Coffee' ColemanTerrence HowardColonel A.J. Bullardas Colonel A.J. BullardNate ParkerMarty 'Easy' Julianas Marty 'Easy' JulianTristan Mack WildsRay 'Junior' Gannonas Ray 'Junior' Gannon(as Tristan Wilds)Ne-YoAndrew 'Smokey' Salemas Andrew 'Smokey' SalemElijah KelleySamuel 'Joker' Georgeas Samuel 'Joker' GeorgeMarcus T. PaulkDavid 'Deke' Watkinsas David 'Deke' WatkinsLeslie Odom Jr.Declan 'Winky' Hallas Declan 'Winky' HallMichael B. JordanMaurice Wilsonas Maurice WilsonKevin PhillipsLeon 'Neon' Edwardsas Leon 'Neon' EdwardsMethod ManSticksas Sticks(as Cliff Smith)Bryan CranstonColonel William Mortamusas Colonel William MortamusLee TergesenColonel Jack Tomlinsonas Colonel Jack TomlinsonDaniela RuahSofiaas SofiaPaul FoxMilleras Miller
tt0763831,A Thousand Words (I),"After stretching the truth on a deal with a spiritual guru, literary agent Jack McCall finds a Bodhi tree on his property. Its appearance holds a valuable lesson on the consequences of every word he speaks.",Brian Robbins,Steve Koren,Eddie MurphyCliff CurtisKerry Washington,Eddie MurphyJack McCallas Jack McCallCliff CurtisDr. Sinjaas Dr. SinjaKerry WashingtonCaroline McCallas Caroline McCallClark DukeAaron Wisebergeras Aaron WisebergerEmanuel RagsdaleTyler McCallas Tyler McCallJill BaseyWoman in Starbucksas Woman in StarbucksGreg CollinsConstruction Workeras Construction WorkerRobert LeQuangStarbucks Customeras Starbucks CustomerMichael G. WilkinsonStarbucks Customeras Starbucks CustomerLyndsey NelsonStarbucks Customeras Starbucks CustomerMichael Cody GilbertStarbucks Customeras Starbucks CustomerLou SalibaShrinkas ShrinkJohn GatinsValetas ValetMitchell FinkMale Agentas Male AgentEdi PattersonYoung Female Agentas Young Female AgentAllison JanneySamantha Davisas Samantha DavisEmily A. BurtonCrying Studentas Crying Student(as Emily Burton)Tracy MulhollandYoung Studentas Young Student
tt0770802,Samsara (I),"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",Ron Fricke,Ron Fricke(concept and treatment written by)Mark Magidson(concept and treatment written by),Balinese Tari Legong DancersNi Made Megahadi PratiwiPuti Sri Candra Dewi,"Balinese Tari Legong DancersDancers: Indonesiaas Dancers: IndonesiaNi Made Megahadi PratiwiDancer: Valinese Tari Legong Dancers, Indonesiaas Dancer: Valinese Tari Legong Dancers, IndonesiaPuti Sri Candra DewiDancer: Valinese Tari Legong Dancers, Indonesiaas Dancer: Valinese Tari Legong Dancers, IndonesiaPutu Dinda PratikaDancer: Valinese Tari Legong Dancers, Indonesiaas Dancer: Valinese Tari Legong Dancers, IndonesiaMarcos LunaTattoo Daddy: USAas Tattoo Daddy: USAHiroshi IshiguroProfessor and Robot Clone: Japanas Professor and Robot Clone: Japan(as Prof. Hiroshi Ishiguro)Olivier De SagazanMan At Desk: Franceas Man At Desk: FranceLadyboys of Cascade BarDancers: Thailandas Dancers: ThailandKikumaruGeisha: Japanas Geisha: JapanCrisanto NeireLead Singer: Cebu Provincial Detenton Center, Philippinesas Lead Singer: Cebu Provincial Detenton Center, PhilippinesRobert HenlineU>S> Army Veteran: USAas U>S> Army Veteran: USA(as Staff Sergeant Robert Henline)Patrick DisantoSelfas SelfTai LihuaLead Dancer: 1000 Habds Goddess Dance, Chinaas Lead Dancer: 1000 Habds Goddess Dance, China(as Iai Lihua)Collin Alfredo St. DicSelfas Self(as Collin St. Dic)…"
tt0790724,Jack Reacher,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,Christopher McQuarrie,Lee Child(based on the book "One Shot" by)Christopher McQuarrie(written for the screen by),Tom CruiseRosamund PikeRichard Jenkins,Tom CruiseReacheras ReacherRosamund PikeHelenas HelenRichard JenkinsRodinas RodinWerner HerzogThe Zecas The ZecDavid OyelowoEmersonas EmersonJai CourtneyCharlieas CharlieVladimir SizovVladas VladJoseph SikoraBarras BarrMichael Raymond-JamesLinskyas LinskyAlexia FastSandyas SandyJosh HelmanJebas JebRobert DuvallCashas CashJames Martin KellyRob Farrioras Rob FarriorDylan KussmanGaryas GaryDenver MilordPunkas PunkSusan AngeloOline Archeras Oline ArcherJulia YorksChrissie Farrioras Chrissie FarriorNicole ForesterNancy Holtas Nancy Holt
tt0837562,Hotel Transylvania,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",Genndy Tartakovsky,Peter Baynham(screenplay by)Robert Smigel(screenplay by)Todd Durham(story by),Adam Sandler(voice)Kevin James(voice)Andy Samberg(voice),Adam SandlerDraculaas Dracula(voice)Kevin JamesFrankensteinas Frankenstein(voice)Andy SambergJonathanas Jonathan(voice)Selena GomezMavisas Mavis(voice)Fran DrescherEuniceas Eunice(voice)Steve BuscemiWayneas Wayne(voice)Molly ShannonWandaas Wanda(voice)David SpadeGriffinas Griffin(voice)CeeLo GreenMurrayas Murray(voice)Jon LovitzQuasimodoas Quasimodo(voice)Brian GeorgeSuit of Armoras Suit of Armor(voice)LuenellShrunken Headsas Shrunken Heads(voice)Brian StackPilotas Pilot(voice)Chris ParnellFlyas Fly(voice)Jackie SandlerMarthaas Martha(voice)Sadie SandlerWinnieas Winnie(voice)…Robert SmigelFake Draculaas Fake Dracula(voice)…Rob RiggleSkeleton Husbandas Skeleton Husband(voice)
