imdb_id,gross,release_time,duration,out_week,first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,review_cnt,feature_clusters
tt0383010,44000000,2206,18,2223,2096,2306,110,83,3.190909091,5.75,12.5,7.888888889,3.75,9.75,8.048192771,36,19,7,52,18,81,0,0,151,83,578,182,21,56,3,1,0,14,9,83,1,0,0,11,17,0,43,11,22,4,0,0,148,81,447,203,24,170,574.549,943.725,643.544,2168.21,103.363,80.8239,97.1878,114.843,66.4434,185.007,91.0698,554.399,4.00343,12.78520325,15.80519481,0.629766667,0.911255411,0.088744589,462,1
tt0401729,73000000,2201,16,2216,2089,2218,112,2,0.75,4.25,9,2.5,0.5,0,0,15,6,1,17,1,0,0,7,37,22,1,59,8,0,4,1,0,4,3,0,0,0,0,1,0,0,17,1,0,13,5,0,30,14,1,72,17,1,246.423,1174.97,453.284,499.134,41.5401,142.15,64.3068,67.9497,43.8467,95.925,55.4545,60.4134,4.10633,11.01949054,13.75961538,0.624443109,0.895833333,0.104166667,625,0
tt0431021,49000000,2226,13,2238,2207,2305,19,67,2.210526316,6.25,6.75,1.384615385,2.75,5,0.194029851,7,1,3,2,0,0,0,1,63,17,39,16,0,1,6,0,0,10,1,5,0,1,0,1,0,0,2,0,0,0,0,1,61,16,33,19,1,5,687,4141.94,1242.26,1333.31,59.6702,229.833,87.0179,75.6603,131.117,422.222,177.902,146.237,3.77974,8.718999539,12.91705069,0.276197926,0.711981567,0.288018433,434,0
tt0443272,182000000,2236,25,2260,2223,2258,13,-2,0.846153846,7.75,9.25,8.04,0,0,0,7,34,0,21,19,0,0,0,25,85,0,23,63,0,3,0,0,3,0,0,0,0,0,2,2,0,21,19,0,0,0,0,24,84,0,29,96,0,1504.46,2976.26,2561,2561,179.456,231.841,217.061,217.061,422.025,374.915,388.207,388.207,4.56796,7.786906672,11.49736644,0.534485428,0.926761976,0.073238024,3988,2
tt0454876,125000000,2238,33,2270,2208,2304,30,34,1.233333333,5.25,7.5,3.939393939,0.5,0.25,0.147058824,9,9,0,10,1,0,0,0,46,105,8,23,15,0,0,0,0,4,5,0,0,0,0,2,0,0,10,1,0,0,0,0,42,97,6,30,27,2,2707.39,7055.85,5300.5,5332.88,117.477,295.238,223.482,222.925,590.091,961.638,811.656,806.142,4.40385,8.919923404,14.43465046,0.461820061,0.963525836,0.036474164,658,2
tt0485985,50000000,2194,21,2214,2171,2235,23,21,11.65217391,10.75,33.5,35.47619048,5,8.25,5.476190476,0,0,0,0,1,0,0,0,0,0,0,445,744,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,445,744,168,0,0,0,0,0,0,0.0337079,0.0955056,0.0723742,0.106775,0,0.0238764,0.0150044,0.0139912,0,0,0,0,4.61655,10.37109531,13.29025271,0.68106491,0.947292419,0.052707581,1387,2
tt0763831,18000000,2201,13,2213,2184,2257,17,44,0.117647059,0,2,1.076923077,2.75,0,0.068181818,6,4,0,2,2,0,0,0,1,5,13,1,3,1,0,0,0,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,1,4,13,4,5,1,89.8,189.167,139.714,268.132,23.6,20.8333,22.2857,28.5789,40.5,33.25,37.2857,40.2632,3.9037,21.71187054,28.57142857,0.543930357,0.901785714,0.098214286,112,1
tt0770802,2600000,2225,19,2243,2170,2299,55,56,1.181818182,3,9.25,7.157894737,1,0,0.25,9,6,2,16,14,2,0,0,22,21,7,67,95,7,0,0,0,32,49,2,0,0,0,0,2,0,16,13,2,13,3,0,16,15,5,37,54,9,56.896,85.5484,71.1647,101.269,8.08,10.6774,9.37349,10.7463,29.576,18.4355,24.0281,35.2799,4.41667,12.77857273,16.86363636,0.532713636,0.863636364,0.136363636,22,2
tt0790724,80000000,2242,14,2255,2218,2270,24,15,0.791666667,4.25,6.75,2.714285714,2,10,0.133333333,14,14,6,0,0,0,0,0,36,19,44,10,5,0,3,0,0,6,4,2,0,1,0,0,0,4,0,0,0,0,0,0,30,15,40,26,19,4,1877.57,1666.11,1798.01,1516.87,171.079,131.184,156.069,119.245,165.794,105.658,143.168,116.954,4.1895,7.098016936,10.73617021,0.51807166,0.920851064,0.079148936,1176,0
tt0837562,148000000,2230,22,2251,2208,2306,22,55,1.681818182,5.25,9.75,8.727272727,0,0.5,1.109090909,7,8,5,0,0,0,0,0,87,167,54,3,16,4,0,1,0,1,4,0,0,0,0,2,5,0,0,0,0,0,0,0,83,156,44,11,27,19,3889.3,7153.68,5931.5,7631.09,284.155,316.403,305.211,294.153,358.969,533.848,447.246,523.162,4.42999,10.23989214,13.44186047,0.687133921,0.974338412,0.025661588,1248,1
